Class,Nord In,Nord Out,timestamp
bus,0,0,2024-10-20 15:47:34
car,1,0,2024-10-20 15:47:34
motorcycle,11,9,2024-10-20 15:47:34
truck,1,0,2024-10-20 15:47:34
bus,0,0,2024-10-20 15:55:00
car,5,2,2024-10-20 15:55:00
motorcycle,19,8,2024-10-20 15:55:00
truck,0,0,2024-10-20 15:55:00
bus,0,0,2024-10-20 15:55:17
car,5,3,2024-10-20 15:55:17
motorcycle,19,14,2024-10-20 15:55:17
truck,0,0,2024-10-20 15:55:17
bus,0,0,2024-10-22 12:48:06
car,11,18,2024-10-22 12:48:06
motorcycle,50,89,2024-10-22 12:48:06
truck,1,1,2024-10-22 12:48:06
